date_name,local_team_id,local_team,local_result,visitor_result,visitor_team,visitor_team_id,Campeonato_id
Nacional 1976 - Grupo C,1,All Boys,2,0,Aldosivi,0,118
Nacional 1976 - Grupo C,0,Aldosivi,4,0,All Boys,1,118
Superliga 2019/20 - Fecha 2,0,Aldosivi,0,0,Argentinos,7,127
Superliga 2018/19 - Fecha 15,7,Argentinos,1,2,Aldosivi,0,54
Torneo 2016 - Fecha 2,0,Aldosivi,3,2,Argentinos,7,91
Campeonato 2015 - Fecha 11,7,Argentinos,0,1,Aldosivi,0,100
Nacional 1975 - Grupo B,7,Argentinos,1,1,Aldosivi,0,121
Nacional 1975 - Grupo B,0,Aldosivi,3,4,Argentinos,7,121
Superliga 2019/20 - Fecha 23,8,Arsenal,4,0,Aldosivi,0,127
Campeonato 2016/17 - Fecha 17,0,Aldosivi,2,1,Arsenal,8,27
Campeonato 2015 - Fecha 7,8,Arsenal,0,3,Aldosivi,0,100
Campeonato 2016/17 - Fecha 15,0,Aldosivi,1,0,Atl Rafaela,10,27
Torneo 2016 - Fecha 15,0,Aldosivi,2,1,Atl Rafaela,10,91
Campeonato 2015 - Fecha 19,10,Atl Rafaela,2,1,Aldosivi,0,100
Superliga 2019/20 - Fecha 4,0,Aldosivi,3,0,Atl Tucuman,11,127
Superliga 2018/19 - Fecha 24,11,Atl Tucuman,1,0,Aldosivi,0,54
Campeonato 2016/17 - Fecha 16,11,Atl Tucuman,0,0,Aldosivi,0,27
Torneo 2016 - Fecha 7,11,Atl Tucuman,1,1,Aldosivi,0,91
Nacional 1975 - Grupo B,11,Atl Tucuman,3,2,Aldosivi,0,121
Nacional 1975 - Grupo B,0,Aldosivi,1,3,Atl Tucuman,11,121
Superliga 2019/20 - Fecha 21,14,Banfield,0,1,Aldosivi,0,127
Superliga 2018/19 - Fecha 11,0,Aldosivi,1,4,Banfield,14,54
Campeonato 2016/17 - Fecha 3,0,Aldosivi,1,3,Banfield,14,27
Campeonato 2015 - Liguilla Sudamericana,14,Banfield,1,1,Aldosivi,0,100
Campeonato 2015 - Liguilla Sudamericana,0,Aldosivi,2,3,Banfield,14,100
Campeonato 2015 - Fecha 12,0,Aldosivi,0,3,Banfield,14,100
